Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Marc Casado;Barcelona;ESP;MF;20;2;15;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;100.0;100.0;100.0;100.0;0.0;0.5;0.0;0.5;1.0;1.0;5.5;0.0;0;6.00;0.00;0;3.00;0.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;3.0;3.0;2.0;0.5;0.5;48.5;16.5;0.0;0.0;1.0;0.0;0.0;0.5;0.15;1.0;0.0;1.0;0.0;-0.3;-0.15;33
Andreas Christensen;Barcelona;DEN;DF,MF;28;26;1798;2;2;2;1.0;1.1;0.1;0.1;0.1;0.05;0.06;La Liga;11;0.55;0.20;94.3;95.6;96.9;79.2;0.9;0.54;0.77;0.69;1.5;1.5;60.73;0.12;60.0;1.35;0.15;69.1;2.04;22.2;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;1.0;52.19;55.35;23.19;25.23;3.08;896.08;306.77;0.03;0.27;4.12;0.04;0.0;4.12;0.85;3.69;0.73;0.31;1.81;-21.2;-0.7999999999999999;33
Pau Cubarsí;Barcelona;ESP;DF;17;15;1227;0;0;0;0.1;0.3;0.0;0.0;0.0;0.01;0.02;La Liga;3;0.22;0.00;91.1;93.3;95.5;71.2;-0.3;0.8;1.07;0.67;1.93;3.53;86.2;0.2;100.0;0.73;0.07;50.0;2.13;16.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;71.27;78.27;25.8;38.4;6.6;1337.13;432.47;0.02;0.2;3.8;0.0;0.0;4.2;1.09;3.33;0.87;0.07;1.47;-16.299999999999997;-1.08;33
Abdessamad Ezzalzouli;Barcelona;MAR;FW,MF;22;2;68;0;0;0;0.2;0.1;0.0;0.0;0.0;0.28;0.09;La Liga;4;5.29;1.32;62.2;78.3;50.0;25.0;-0.1;0.5;0.5;0.0;0.5;0.0;27.0;1.0;50.0;2.65;0.00;33.3;2.00;0.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;11.5;18.5;9.0;2.0;0.5;144.5;41.5;0.0;1.0;0.0;1.0;0.5;0.5;0.1;1.0;0.5;1.5;0.5;0.0;0.18000000000000002;33
Ansu Fati;Barcelona;ESP;MF,FW;21;3;50;0;0;0;0.7;0.0;0.0;0.0;0.0;1.34;0.0;La Liga;7;12.60;1.80;85.7;100.0;77.8;100.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.33;33.3;1.80;0.00;50.0;2.33;0.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;8.0;9.33;5.0;2.33;0.33;107.33;29.0;0.03;0.0;0.67;0.33;0.0;1.33;0.1;0.67;0.0;1.33;0.33;0.39999999999999997;1.24;33
João Félix;Barcelona;POR;FW;24;27;1460;7;7;3;8.0;3.1;0.43;0.43;0.18;0.49;0.19;La Liga;56;3.45;1.42;81.1;90.4;80.2;47.7;-0.1;0.56;0.48;0.33;1.11;0.37;32.37;0.93;29.8;3.58;0.49;50.0;2.07;15.7;0;0;0;0;0;0;0.0;0;0.0;0.0;3.29;-1.0;18.7;23.07;12.15;4.96;0.78;257.07;49.78;0.1;0.7;1.07;0.74;0.04;2.48;0.58;2.44;0.67;1.93;0.3;-7.699999999999999;-0.08999999999999997;33
Héctor Fort;Barcelona;ESP;DF;17;5;239;0;0;1;0.0;0.3;0.0;0.0;0.38;0.0;0.11;La Liga;0;0.00;0.00;86.4;94.7;83.9;53.3;0.7;0.8;0.0;0.4;1.4;0.8;37.2;0.6;42.9;1.13;0.37;0.0;2.40;1.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;29.2;33.8;17.8;9.4;1.6;434.4;111.2;0.06;0.4;1.4;0.4;0.0;1.2;0.38;2.8;1.0;0.2;0.0;-1.9;-0.38;33
Eric García;Barcelona;ESP;DF;23;2;57;0;0;0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;La Liga;1;1.58;0.00;95.8;95.7;100.0;75.0;0.0;0.0;0.5;0.0;0.0;0.0;26.5;0.0;0;1.58;0.00;100.0;3.00;0.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;23.0;24.0;11.0;10.5;1.5;401.0;154.0;0.0;0.0;2.0;0.0;0.0;2.5;0.2;1.5;0.5;0.0;0.5;-0.4;-0.13;33
Gavi;Barcelona;ESP;MF;19;12;944;1;1;1;0.9;1.1;0.1;0.1;0.1;0.09;0.1;La Liga;9;0.86;0.38;90.4;94.3;88.5;80.0;-0.1;1.75;1.58;0.67;3.92;1.33;56.5;1.0;54.5;2.57;0.29;33.3;2.25;10.9;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;0.09999999999999998;40.75;45.08;24.75;12.17;2.33;593.25;116.67;0.12;0.92;3.08;0.67;0.17;3.25;0.91;3.67;2.58;1.92;1.08;-10.0;-0.8200000000000001;33
Marc Guiu;Barcelona;ESP;FW,MF;18;3;74;1;1;0;0.8;0.3;1.22;1.22;0.0;0.92;0.32;La Liga;4;4.86;1.22;100.0;100.0;100.0;0;-0.3;0.0;0.0;0.0;0.33;0.0;6.67;0.0;0;2.43;0.00;25.0;2.33;0.5;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.19999999999999996;2.67;2.67;1.0;1.0;0.0;27.67;2.33;0.03;0.33;0.0;0.33;0.0;0.33;0.17;0.33;0.33;0.67;0.33;0.30000000000000004;0.75;33
