Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Abner;Betis;BRA;DF;23;21;1303;0;0;0;0.1;0.6;0.0;0.0;0.0;0.01;0.04;La Liga;4;0.28;0.00;77.3;88.9;76.7;47.3;-0.6;0.9;1.05;0.71;1.86;2.76;43.0;0.33;53.8;0.97;0.00;56.5;1.57;24.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;27.38;35.43;15.67;8.95;1.67;409.76;196.81;0.05;0.33;0.86;0.33;0.1;1.48;1.19;3.48;0.71;0.1;0.62;-24.799999999999997;-1.18;33
Paul Akouokou;Betis;CIV;MF;26;2;27;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;94.1;87.5;100.0;100.0;0.0;1.5;1.5;0.5;3.0;0.5;13.0;0.0;0;0.00;0.00;0;1.50;0.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;8.0;8.5;3.5;3.5;0.5;140.0;32.5;0.0;0.0;0.0;0.0;0.0;0.5;0.35;0.0;0.5;0.5;0.0;-0.7;-0.35;33
Sergi Altimira;Betis;ESP;MF;22;12;504;1;1;0;0.2;0.3;0.18;0.18;0.0;0.03;0.05;La Liga;6;1.07;0.18;90.4;93.2;94.7;79.3;-0.3;0.67;1.0;0.67;1.92;0.83;28.17;0.5;54.5;2.33;0.00;40.0;1.58;9.8;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.8;20.33;22.5;10.33;7.5;1.92;328.08;77.42;0.02;0.33;2.0;0.17;0.0;2.33;0.82;3.17;0.58;0.5;0.17;-9.600000000000001;-0.7899999999999999;33
Ezequiel Ávila;Betis;ARG;FW;30;6;298;1;1;0;0.7;0.1;0.3;0.3;0.0;0.22;0.02;La Liga;9;2.72;0.91;60.4;86.7;60.0;35.3;-0.1;0.17;0.33;0.17;0.5;0.67;20.83;0.33;50.0;2.72;0.30;44.4;1.17;5.2;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.30000000000000004;9.17;15.17;4.33;3.0;1.0;152.33;30.0;0.02;0.33;0.33;0.33;0.0;1.0;0.87;1.5;0.5;2.0;0.67;-4.5;-0.65;33
Cédric Bakambu;Betis;COD;FW;33;4;194;0;0;0;0.4;0.3;0.0;0.0;0.0;0.2;0.13;La Liga;4;1.86;0.46;66.7;70.0;58.3;0;-0.3;0.0;0.5;0.0;0.25;0.0;16.5;0.25;33.3;2.32;0.00;30.0;2.00;3.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;6.5;9.75;3.5;1.75;0.0;69.25;14.5;0.1;0.75;0.25;0.0;0.0;1.0;0.9;1.0;1.0;0.75;0.75;-3.2;-0.7;33
Francisco Barbosa;Betis;ESP;GK;24;3;225;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;64.3;100.0;93.3;40.9;0.0;0.0;0.0;0.0;0.0;0.67;30.33;0.0;0;0.00;0.00;100.0;1.33;2.3;0;3.7;0.26;-0.3;4;1.60;71.4;50.0;4.67;3.5;0.0;0.0;18.0;28.0;2.33;9.33;6.0;518.33;341.67;0.0;0.0;0.33;0.0;0.0;0.0;0.77;0.0;0.0;0.0;0.33;-2.3;-0.77;33
Marc Bartra;Betis;ESP;DF;33;3;225;0;0;0;0.2;0.0;0.0;0.0;0.0;0.08;0.0;La Liga;3;1.20;0.00;85.6;92.9;92.3;61.9;0.0;1.0;1.0;1.0;2.33;3.33;47.0;0.67;100.0;1.20;0.40;50.0;1.33;2.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;33.67;39.33;13.0;16.0;4.33;636.67;206.67;0.0;0.0;1.67;0.0;0.0;1.67;0.9;5.0;1.33;0.33;1.33;-2.5;-0.8200000000000001;33
Héctor Bellerín;Betis;ESP;DF;29;20;1545;0;0;1;0.0;1.4;0.0;0.0;0.06;0.0;0.08;La Liga;0;0.00;0.00;77.2;86.8;77.7;40.6;-0.4;0.95;0.6;1.0;2.45;1.9;54.5;0.65;29.5;1.51;0.17;32.7;1.75;20.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;35.3;45.7;19.0;13.95;1.4;533.65;227.4;0.06;0.7;2.45;0.7;0.15;3.8;1.01;3.95;0.9;0.45;0.8;-20.2;-1.01;33
Claudio Bravo;Betis;CHI;GK;41;7;630;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;La Liga;0;0.00;0.00;80.9;100.0;100.0;56.6;0.0;0.0;0.0;0.0;0.0;0.29;34.43;0.0;0;0.29;0.00;100.0;1.86;6.5;1;5.5;0.27;+1.5;5;0.71;75.0;28.6;2.86;4.0;0.0;0.0;26.57;32.86;6.0;12.29;8.0;712.57;474.57;0.01;0.14;0.43;0.29;0.0;0.14;0.93;2.0;0.0;0.14;0.29;-6.5;-0.93;33
Pablo Busto;Betis;ESP;DF;18;2;44;0;0;0;0.0;0.2;0.0;0.0;0.0;0.03;0.41;La Liga;1;2.05;0.00;69.2;78.6;71.4;33.3;-0.2;0.5;0.0;0.5;1.0;1.5;16.5;0.5;100.0;2.05;0.00;0;1.50;0.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;9.0;13.0;5.5;2.5;0.5;127.0;39.5;0.05;0.5;0.5;0.5;0.0;0.5;0.15;0.5;0.0;0.5;0.0;-0.3;-0.12;33
Johnny Cardoso;Betis;USA;MF;22;13;1018;1;1;2;0.9;0.4;0.09;0.09;0.18;0.08;0.04;La Liga;9;0.80;0.27;83.9;87.7;85.5;74.2;1.6;1.62;1.15;1.92;4.38;2.08;47.31;0.77;58.8;1.33;0.44;67.3;1.62;14.4;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.09999999999999998;30.46;36.31;16.46;11.31;1.77;472.77;121.31;0.07;0.46;2.15;0.46;0.0;2.85;1.11;5.92;1.15;1.15;2.54;-13.5;-1.03;33
William Carvalho;Betis;POR;MF;32;19;588;1;1;3;0.4;0.8;0.15;0.15;0.46;0.06;0.12;La Liga;8;1.22;0.46;87.5;92.2;88.8;71.4;2.2;0.47;0.32;0.32;1.16;0.32;31.63;0.21;30.8;2.30;0.61;70.0;1.58;10.1;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.6;24.74;28.26;14.26;7.89;1.58;373.68;116.11;0.03;0.42;3.0;0.37;0.0;2.47;0.53;2.26;0.63;0.26;0.37;-9.7;-0.47000000000000003;33
Juan Cruz;Betis;ESP;FW;24;5;76;0;0;0;0.1;0.0;0.0;0.0;0.0;0.09;0.05;La Liga;2;2.37;0.00;75.0;86.7;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.8;57.1;5.92;0.00;100.0;1.60;2.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;3.0;4.0;2.6;0.4;0.0;37.4;9.8;0.0;0.2;0.0;0.6;0.0;0.6;0.44;0.8;0.4;0.4;0.2;-2.1;-0.35;33
Assane Diao;Betis;ESP;FW;18;18;1048;2;2;0;2.5;0.7;0.17;0.17;0.0;0.21;0.06;La Liga;21;1.80;0.26;75.8;85.4;74.5;77.8;-0.7;0.67;1.22;0.39;1.5;0.39;26.56;1.0;32.7;1.98;0.00;38.9;1.50;14.1;0;0;0;0;0;0;0.0;0;0.0;0.0;1.5;-0.5;11.11;14.67;7.78;1.94;0.39;127.61;22.78;0.04;0.56;0.22;0.33;0.06;1.11;0.78;2.61;0.67;1.22;0.78;-11.6;-0.5700000000000001;33
Abdessamad Ezzalzouli;Betis;MAR;FW;22;22;702;1;1;0;1.3;0.2;0.13;0.13;0.0;0.17;0.03;La Liga;25;3.21;0.51;66.1;77.1;64.3;23.1;-0.2;0.5;0.36;0.18;0.73;0.14;18.86;0.86;45.2;2.18;0.26;51.6;1.36;9.2;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;-0.30000000000000004;8.77;13.27;5.95;2.05;0.14;104.55;29.18;0.02;0.14;0.36;0.36;0.05;1.0;0.42;1.5;0.32;0.64;0.73;-7.8999999999999995;-0.24999999999999997;33
Nabil Fekir;Betis;FRA;MF,FW;30;16;891;1;1;2;2.0;1.9;0.1;0.1;0.2;0.21;0.19;La Liga;24;2.42;0.51;79.7;86.9;88.2;43.6;0.1;0.62;0.56;0.44;1.38;0.19;38.56;1.06;68.0;5.04;0.30;44.4;1.88;11.1;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-1.0;24.75;31.06;14.12;6.56;1.5;331.69;113.38;0.12;1.44;2.69;1.06;0.12;3.44;0.69;2.44;1.19;1.94;0.5;-9.1;-0.48;33
Luiz Felipe;Betis;ITA;DF;27;4;360;0;0;0;0.1;0.2;0.0;0.0;0.0;0.02;0.06;La Liga;2;0.50;0.00;89.3;95.2;90.7;64.3;-0.2;0.75;2.5;1.0;2.75;4.0;52.25;0.0;0;0.50;0.00;25.0;1.75;5.8;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;37.75;42.25;14.75;19.5;2.25;647.75;249.0;0.05;0.25;1.0;0.0;0.0;1.0;1.45;5.75;0.5;0.25;0.5;-5.7;-1.43;33
Pablo Fornals;Betis;ESP;FW,MF;28;12;946;2;2;2;1.5;1.6;0.19;0.19;0.19;0.15;0.15;La Liga;14;1.33;0.29;73.7;86.2;76.1;49.3;0.4;1.0;1.08;1.5;3.0;0.83;56.75;0.75;39.1;4.00;0.48;50.0;1.50;14.2;0;0;0;0;0;0;0.0;0;0.0;0.0;1.5;0.5;34.75;47.17;17.67;11.67;3.0;545.33;182.17;0.16;1.75;3.67;1.75;0.5;6.08;1.18;5.17;0.83;0.92;0.75;-12.7;-1.03;33
Andrés Guardado;Betis;MEX;MF;37;12;447;0;0;0;0.1;0.2;0.0;0.0;0.0;0.03;0.04;La Liga;5;1.01;0.00;84.9;93.5;88.7;72.4;-0.2;1.0;0.33;0.5;1.92;0.42;28.83;0.5;85.7;3.02;0.00;36.4;1.58;6.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;21.08;24.83;8.42;8.5;3.5;413.25;128.33;0.02;0.42;2.83;0.42;0.08;3.0;0.51;3.08;0.83;0.25;0.33;-6.0;-0.48;33
Luiz Henrique;Betis;BRA;FW;23;14;616;0;0;3;1.2;1.6;0.0;0.0;0.44;0.18;0.24;La Liga;18;2.63;0.44;69.2;77.2;74.2;54.2;1.4;0.79;0.79;0.36;1.43;0.57;22.79;1.86;55.3;4.38;0.73;51.7;1.64;10.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.2;10.43;15.07;5.57;3.29;0.93;163.71;34.93;0.11;0.79;0.71;0.71;0.43;1.21;0.78;2.07;0.5;1.07;1.07;-9.700000000000001;-0.6000000000000001;33
Borja Iglesias;Betis;ESP;FW;31;11;408;0;0;1;0.6;0.9;0.0;0.0;0.22;0.13;0.21;La Liga;10;2.21;0.00;82.2;86.4;87.0;66.7;0.1;0.0;0.0;0.18;0.18;0.18;12.82;0.09;50.0;4.42;0.22;46.2;1.45;7.8;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.6;7.55;9.18;5.18;1.82;0.36;102.64;16.27;0.06;1.0;0.18;0.55;0.0;1.09;0.71;0.64;0.64;0.45;0.55;-7.2;-0.58;33
Isco;Betis;ESP;MF;32;27;2198;7;5;4;8.1;6.3;0.29;0.2;0.16;0.33;0.26;La Liga;59;2.42;0.94;80.1;91.0;84.0;56.8;-2.3;0.89;0.7;0.33;1.7;0.26;64.48;2.52;53.5;6.02;0.49;30.6;1.52;30.2;0;0;0;0;0;0;0.0;0;0.0;0.0;4.6;-1.0999999999999996;42.07;52.52;22.07;13.07;4.81;688.33;219.85;0.23;2.85;4.59;2.11;0.26;7.63;1.12;4.44;1.11;2.74;0.56;-22.1;-0.79;33
Willian José;Betis;BRA;FW;32;30;1774;10;10;4;5.5;2.3;0.51;0.51;0.2;0.28;0.12;La Liga;45;2.28;1.12;77.6;82.4;80.3;72.7;1.7;0.1;0.27;0.07;0.3;0.47;20.53;0.17;45.5;1.78;0.36;43.7;1.53;25.0;0;0;0;0;0;0;0.0;0;0.0;0.0;2.2;4.5;12.5;16.1;7.47;3.13;0.8;171.93;24.43;0.05;0.77;0.47;0.23;0.03;0.97;0.83;1.23;0.27;0.67;1.03;-19.5;-0.5499999999999999;33
Juan Miranda;Betis;ESP;DF;24;22;1595;1;1;1;1.5;1.6;0.06;0.06;0.06;0.08;0.09;La Liga;12;0.68;0.23;78.5;88.8;79.4;56.1;-0.6;0.91;1.18;0.82;2.32;2.77;52.91;0.27;37.5;2.14;0.17;45.8;1.55;17.7;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;-0.5;34.59;44.05;15.09;15.05;3.36;598.73;287.59;0.09;0.82;2.5;1.09;0.36;3.86;0.8;3.32;0.82;1.27;1.0;-16.2;-0.7200000000000001;33
Sokratis Papastathopoulos;Betis;GRE;DF;35;11;776;0;0;0;0.2;0.0;0.0;0.0;0.0;0.02;0.0;La Liga;1;0.12;0.12;89.0;95.5;93.5;62.7;0.0;0.45;1.0;0.55;1.55;4.45;43.45;0.0;0.0;0.35;0.12;57.9;1.36;14.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;31.55;35.45;11.55;16.91;2.91;586.27;195.55;0.01;0.09;0.27;0.0;0.0;0.91;1.28;2.82;0.82;0.45;2.0;-13.9;-1.26;33
Ayoze Pérez;Betis;ESP;FW;30;27;1950;7;7;1;6.3;3.1;0.32;0.32;0.05;0.29;0.14;La Liga;56;2.58;0.92;76.0;87.1;75.5;54.2;-2.1;1.11;1.41;0.74;2.78;0.63;35.0;1.7;46.0;3.42;0.23;40.5;1.48;25.0;0;0;0;0;0;0;0.0;0;0.0;0.0;2.86;0.7000000000000002;17.15;22.56;11.22;4.11;0.48;213.11;58.41;0.09;0.93;1.52;0.52;0.0;2.26;0.93;3.89;1.19;1.56;0.63;-18.7;-0.6400000000000001;33
Germán Pezzella;Betis;ARG;DF;32;32;2767;1;1;0;2.0;0.3;0.03;0.03;0.0;0.07;0.01;La Liga;23;0.75;0.16;86.0;93.3;89.3;56.0;-0.3;0.75;0.97;0.97;2.03;4.69;55.59;0.09;50.0;0.49;0.00;68.3;1.63;38.9;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-1.0;39.91;46.41;13.84;22.62;2.94;740.34;265.09;0.01;0.12;1.53;0.12;0.03;2.0;1.22;4.62;0.69;0.41;2.62;-36.9;-1.15;33
Chadi Riad;Betis;MAR;DF;20;23;1894;0;0;0;0.7;0.2;0.0;0.0;0.0;0.03;0.01;La Liga;10;0.48;0.19;89.3;93.4;94.4;54.1;-0.2;0.91;0.78;0.78;2.09;4.26;53.3;0.0;0;0.43;0.00;51.3;1.48;27.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;39.91;44.7;15.35;21.43;2.3;711.39;203.26;0.01;0.09;0.57;0.0;0.0;1.22;1.2;4.26;0.52;0.3;1.7;-26.8;-1.17;33
Marc Roca;Betis;ESP;MF;27;24;1816;2;2;2;1.1;1.3;0.1;0.1;0.1;0.06;0.06;La Liga;20;0.99;0.35;83.0;90.0;86.8;59.1;0.7;1.42;1.12;0.67;2.71;0.88;54.38;0.38;50.0;2.82;0.15;28.6;1.33;27.4;0;0;0;0;0;0;0.0;0;0.0;0.0;3.5;0.8999999999999999;38.33;46.21;18.0;15.08;3.79;660.29;221.29;0.07;0.75;4.62;0.67;0.0;4.96;1.14;5.83;1.92;0.96;0.33;-26.299999999999997;-1.0799999999999998;33
Rodri;Betis;ESP;FW,MF;23;25;912;0;0;0;1.0;1.0;0.0;0.0;0.0;0.1;0.1;La Liga;16;1.58;0.39;80.5;90.6;81.0;57.1;-1.0;0.32;0.4;0.32;0.88;0.08;24.28;0.8;40.8;2.86;0.00;0.0;1.48;17.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.0;15.48;19.24;8.88;4.96;0.96;230.28;64.56;0.08;0.52;1.12;1.12;0.2;2.28;0.68;2.04;0.2;1.0;0.0;-16.0;-0.5800000000000001;33
Guido Rodríguez;Betis;ARG;MF;30;22;1737;2;2;0;0.7;0.7;0.1;0.1;0.0;0.03;0.04;La Liga;18;0.93;0.36;85.1;91.7;88.4;67.5;-0.7;1.18;1.23;1.23;3.18;2.0;54.05;0.41;69.2;1.14;0.31;58.8;1.55;23.0;0;0;0;0;0;0;0.0;0;0.0;0.0;3.5;1.3;38.14;44.82;18.55;14.14;3.77;651.82;200.77;0.04;0.14;3.23;0.05;0.0;2.77;1.05;6.68;1.05;1.55;0.91;-22.3;-1.02;33
Aitor Ruibal;Betis;ESP;DF,FW;28;17;972;2;2;1;0.8;1.3;0.19;0.19;0.09;0.08;0.12;La Liga;13;1.20;0.19;76.2;89.7;79.1;45.9;-0.3;1.47;0.53;0.82;3.35;1.76;41.53;1.59;61.4;3.06;0.28;30.8;1.35;18.3;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;1.2;25.06;32.88;14.35;8.24;2.0;398.47;158.76;0.04;0.65;2.18;0.82;0.18;3.12;1.08;4.18;0.88;0.71;0.24;-17.5;-1.0;33
Youssouf Sabaly;Betis;SEN;DF;31;9;807;0;0;1;0.1;0.3;0.0;0.0;0.11;0.01;0.04;La Liga;3;0.33;0.00;83.4;90.3;86.4;48.3;0.7;0.89;0.67;1.11;2.44;2.78;65.22;1.0;50.0;1.45;0.22;44.4;1.56;12.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;46.44;55.67;27.89;15.56;1.56;645.33;202.22;0.07;0.33;3.22;0.67;0.0;4.11;1.36;5.33;0.56;0.56;0.89;-12.1;-1.35;33
Rui Silva;Betis;POR;GK;30;25;2205;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;70.0;100.0;99.7;43.0;0.0;0.0;0.0;0.04;0.04;0.48;36.6;0.04;100.0;0.08;0.00;81.8;1.40;36.6;2;32.3;0.25;+4.3;30;1.22;77.5;36.0;4.08;3.4;0.0;0.0;24.12;34.48;4.44;11.88;7.68;651.12;453.92;0.0;0.0;0.28;0.0;0.0;0.04;1.46;1.44;0.08;0.28;0.36;-36.6;-1.46;33
Ricardo Visus;Betis;ESP;DF;23;2;76;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;0;0;0;0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0;0;0;0;2.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.5;0.0;0.0;0.0;33
Abdel Abqar;Alavés;MAR;DF;25;23;1997;0;0;0;0.3;0.1;0.0;0.0;0.0;0.02;0.0;La Liga;8;0.36;0.09;72.2;85.1;88.6;46.2;-0.1;0.7;1.09;0.83;2.13;4.48;39.7;0.13;60.0;0.50;0.00;52.4;1.04;25.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;21.48;29.74;5.48;11.43;4.17;486.91;197.57;0.0;0.09;2.35;0.09;0.0;1.91;1.13;4.39;1.3;0.96;1.43;-25.599999999999998;-1.1099999999999999;33
Carlos Benavídez;Alavés;URU;MF;26;27;1013;3;3;1;1.0;0.5;0.27;0.27;0.09;0.09;0.04;La Liga;14;1.24;0.62;69.8;81.5;72.7;46.1;0.5;1.26;0.41;0.7;2.7;1.07;21.44;0.04;50.0;1.78;0.18;53.2;1.30;13.9;0;0;0;0;0;0;0.0;0;0.0;0.0;2.33;2.0;10.89;15.59;5.07;4.33;1.3;198.07;62.96;0.02;0.22;1.56;0.26;0.0;1.89;0.51;2.37;1.3;0.26;1.22;-12.9;-0.42000000000000004;33
Antonio Blanco;Alavés;ESP;MF;23;31;2246;0;0;1;0.8;1.0;0.0;0.0;0.04;0.03;0.04;La Liga;20;0.80;0.12;76.8;86.7;81.5;56.3;0.0;1.1;0.77;1.1;2.9;0.84;38.16;0.61;57.6;1.60;0.04;50.0;1.29;27.8;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.8;24.06;31.32;11.32;9.23;2.61;420.71;161.42;0.03;0.55;3.0;0.52;0.19;4.03;0.9;4.97;1.1;1.13;0.58;-27.0;-0.87;33
Rubén Duarte;Alavés;ESP;DF;28;24;1597;2;2;0;0.6;1.3;0.11;0.11;0.0;0.04;0.07;La Liga;14;0.79;0.28;69.3;87.4;75.6;39.9;-1.3;0.79;0.75;0.83;2.17;2.33;37.46;0.12;60.0;1.47;0.00;45.7;1.04;21.9;0;0;0;0;0;0;0.0;0;0.0;0.0;2.5;1.4;21.17;30.54;8.67;9.54;2.71;404.0;188.58;0.05;0.58;2.08;0.54;0.38;3.0;0.91;3.54;1.12;1.0;0.88;-21.299999999999997;-0.87;33
Andoni Gorosabel;Alavés;ESP;DF;27;33;2790;1;1;0;0.7;1.3;0.03;0.03;0.0;0.02;0.04;La Liga;14;0.45;0.19;79.6;88.9;78.7;54.5;-1.3;1.18;0.73;0.85;2.64;2.09;48.3;0.73;52.2;1.84;0.06;30.5;1.24;35.4;0;0;0;0;0;0;0.0;0;0.0;0.0;6.0;0.30000000000000004;31.52;39.61;18.61;10.3;1.64;464.03;185.09;0.07;0.42;1.73;0.94;0.3;3.42;1.07;4.91;0.88;1.21;0.76;-34.699999999999996;-1.05;33
Ander Guevara;Alavés;ESP;MF;26;33;2662;1;1;0;0.7;0.8;0.03;0.03;0.0;0.02;0.03;La Liga;16;0.54;0.07;75.9;83.8;78.8;59.5;-0.8;0.85;0.91;0.36;1.88;1.33;48.85;0.58;59.4;2.13;0.10;48.8;1.24;35.1;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.30000000000000004;31.42;41.42;15.03;12.36;2.94;522.48;178.73;0.04;0.58;4.67;0.52;0.06;5.18;1.06;6.27;1.39;0.88;1.18;-34.4;-1.04;33
Jon Guridi;Alavés;ESP;MF;29;32;2383;1;1;4;3.3;3.3;0.04;0.04;0.15;0.12;0.12;La Liga;31;1.17;0.19;76.6;83.9;82.1;58.1;0.7;0.66;0.69;0.5;1.62;0.56;29.56;0.34;32.4;2.27;0.30;46.4;1.28;27.7;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-2.3;17.38;22.69;8.94;6.75;1.12;277.81;79.06;0.09;0.91;1.75;0.59;0.12;3.19;0.87;3.62;0.56;0.81;1.22;-24.4;-0.75;33
Ianis Hagi;Alavés;ROU;MF,FW;25;18;612;0;0;1;2.6;1.4;0.0;0.0;0.15;0.39;0.21;La Liga;20;2.94;0.74;63.0;81.5;62.7;50.9;-0.4;0.44;0.33;0.11;0.72;0.22;17.67;0.56;45.5;6.02;0.15;46.7;0.72;7.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-2.6;8.33;13.22;4.17;2.61;1.5;162.56;53.39;0.09;1.06;0.83;0.61;0.22;1.44;0.44;0.89;0.44;0.94;0.39;-5.300000000000001;-0.04999999999999999;33
Jon Karrikaburu;Alavés;ESP;MF,FW;21;2;16;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;40.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0;0.00;0.00;0;0.00;1.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;1.0;2.5;0.0;0.5;0.5;29.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.6;1.0;0.5;0.0;0.0;-1.2;-0.6;33
Kiké;Alavés;ESP;FW,MF;34;31;1311;3;3;2;6.3;1.9;0.21;0.21;0.14;0.43;0.13;La Liga;51;3.50;1.51;66.5;70.3;71.1;55.6;0.1;0.13;0.52;0.03;0.26;0.39;15.65;0.48;48.4;2.60;0.41;41.9;1.19;15.7;0;0;0;0;0;0;0.0;0;0.0;0.0;7.33;-3.3;6.03;9.06;3.13;2.06;0.32;89.74;17.58;0.04;0.52;0.42;0.26;0.06;1.0;0.51;1.52;0.77;1.16;1.42;-9.399999999999999;-0.08000000000000002;33
Javi López;Alavés;ESP;DF;22;29;2141;1;1;3;0.7;3.0;0.04;0.04;0.13;0.03;0.12;La Liga;15;0.63;0.08;68.4;85.5;71.1;41.1;0.0;0.41;0.72;0.38;1.14;2.59;44.59;1.24;54.5;1.93;0.25;57.1;1.28;26.3;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.30000000000000004;24.52;35.86;12.38;8.9;2.72;428.76;177.34;0.08;0.45;1.93;0.69;0.52;2.79;0.91;3.79;0.86;0.66;0.97;-25.6;-0.88;33
Rafa Marín;Alavés;ESP;DF;21;30;2218;0;0;0;0.4;0.3;0.0;0.0;0.0;0.02;0.01;La Liga;11;0.45;0.08;82.3;89.3;89.3;59.6;-0.3;0.57;1.03;0.9;1.73;3.9;39.57;0.1;60.0;0.65;0.00;55.3;1.23;28.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;25.93;31.5;7.77;14.17;3.83;540.77;224.63;0.01;0.17;2.17;0.07;0.0;2.4;0.96;3.67;0.87;0.5;1.73;-28.5;-0.94;33
Tomás Mendes;Alavés;ESP;MF;19;1;6;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;66.7;50.0;100.0;0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0;0.00;0.00;0;0.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;4.0;6.0;1.0;3.0;0.0;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;33
Miguel;Alavés;ESP;FW,MF;24;3;65;0;0;0;0.1;0.0;0.0;0.0;0.0;0.13;0.0;La Liga;2;2.77;1.38;46.7;50.0;50.0;0.0;0.0;0.0;0.67;0.0;0.0;0.0;7.33;0.0;0;1.38;0.00;33.3;1.00;1.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;2.33;5.0;1.0;0.67;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;1.0;0.67;1.0;0.33;-0.9;-0.2;33
Samuel Omorodion;Alavés;ESP;FW;20;31;1777;8;8;1;9.7;1.2;0.41;0.41;0.05;0.49;0.06;La Liga;55;2.79;1.01;72.8;78.3;75.9;63.6;-0.2;0.1;0.29;0.03;0.23;0.45;17.65;0.61;35.8;1.42;0.15;38.6;1.13;24.4;0;0;0;0;0;0;0.0;0;0.0;0.0;2.5;-1.6999999999999993;6.9;9.48;4.19;2.03;0.23;93.23;12.32;0.02;0.48;0.32;0.16;0.0;0.55;0.79;1.45;0.81;0.84;1.65;-14.7;-0.30000000000000004;33
